ID,Tweet,emo
1,RT @AKINTUNDE_SEGUN: Earlier conversation today between @KayLord1 and sen reping ekiti. @Omojuwa @jimidisu @DanielAkinlami #shame #sad http…,sadness_depression
2,@StanaTalkRadio Please promise another #SFF. I will need to see my #Castle people after this mess sometime in the near future. #sad,sadness_depression
3,RT @northernprideuk: Only 88 days until #NewcastlePride2016 who's #excited https://t.co/6JIaJRZF0z,exciting_2
4,Music for moms: relaxation and stress relief https://t.co/h2NSb5a0Gv #motherhood #music #stressrelief #relaxed #blog #AmberBuddy,peace_relax
5,I really love this! ~ Jade #Demi #demetria #devonne #devonnebydemi #confident #lovato #lovatic #dilmer #dilmershipp… https://t.co/1Klj3nH6bM,confidence_impress
6,@prizprazpruz @mashable @pink I KNOWWWWW!!! Asdfghjkl #excited,exciting_2
7,@MsMelanieSykes I took my niece to see #Zootropolis and we didn't think it was that great. #disappointed,disappoint_2
8,Mamaw got her hair done today!! #mamaw #Rehab #signature #selfie #hair #happy #nofilter #family… https://t.co/LUoHQacf0n,joy_2
9,It's hard enough to study but when the answers provided that you're checking your work off are wrong it's impossible #frustrated #exams,disgust_frustration
10,"You can see, she's a #beautiful girl 😊 #confident #smile #lovelife https://t.co/mjYDDkhJJv",confidence_impress
11,"Tchrs looking for pop culture example of grace under pressure, self-control, empathy, active listening w humor- check @wkamaubell #impressed",confidence_impress
12,RT @daniellejade198: Getting the badges ready for tomorrow! See you on the streets #Excited #CareNotWarfare #BursaryOrBust https://t.co/WLe…,exciting_2
13,A small piece of honors research presentations at @Pfeiffer1885. #wow #impressive #unfalconbelievable https://t.co/fCNJ3JbRyz,confidence_impress
14,#é #isso #ai!  #dia #do #amigo #á #todos! 😉 #That's #it! #happy #day#friends #will #all ! 😉 https://t.co/YmqbYZ6wkd,joy_2
15,@ABUDiapers where is a link to the event!! I'm not getting anything from visiting abuniverse or nappiesrus #disappointed,disappoint_2
16,@Rocket_Bird Whoo Hoo! #soapheaven #excited Thank you!!!!,exciting_2
17,"#family can be #peaceful and #healing if everyone is open, #courageous, and joyfully loved for all that they are #ArchOfFam #WednesdayWisdom",peace_relax
18,Hi gorgeous! ❤️tay507 #hairbyemilynyc #hair #blonde #gorgeous #style #happy #saturday… https://t.co/Nxql6yeAVH,joy_2
19,Gridlock Mold to Wrexham! Not moved for half an hour! Might make it to work by hometime! #frustrated @wrexham  😣,disgust_frustration
20,"Was it hard for you because of me? Was it really comfortable? Like a fool, I didn’t even notice #HAPPY",joy_2
21,I hate people.. they let you down and anger you..so few ever follow through or actually care #sad,sadness_depression
22,RT @SprtsGames4Kids: This Sunday will be our first ever @DragonsBaseball game and the premiere of #DragonsGamesForKids! #Excited! 🐲🐉⚾🐲🐉⚾🐉🐲⚾…,exciting_2
23,Badger brooch in @handmadenotts shop 😀 #happy #badger https://t.co/kvcZwj4l5H,joy_2
24,@kyexxiee o ok u rlly got me there!!! Have you been working on your African American male accent lately??? #impressed #whosurvoicecoach,confidence_impress
25,#Happy Weekend! We travel everywhere with our cloud pillow. Don't forget to get #FREESHIPPING using code FREESHIP16 https://t.co/EGiYDwShBI,joy_2
26,RT @MortimerMania: 158 Days Till @tony_mortimer #TonyOnTour #Manchester #Islington #Birmingham #02academy #band #excited #celebritynews htt…,exciting_2
27,#aesome day today Our #videogame and #comicbook  for the corporation was finished for our indiegogo campaign https://t.co/UM0kttZkCe #happy,joy_2
28,OMG the new promo nd the lines 😍😛😋🤓👌 #excited #speechless #EkDujeKeVaaste #promo @namik_paul @nikifyinglife ❤️,exciting_2
29,@cenkuygur @rcpvideo why? She'll say anything for votes at this point. #Desperate,sadness_depression
30,Just got my #TEFL personal tutor! This is starting to feel all too real... #excited #isthisforreal #studytime,exciting_2
31,"@InitiateSarcasm You just say the """"dumb vote"""" to make you and what you believe in superior or more right than others #Sad",sadness_depression
32,Baby waiting in a little under 1hour so excited to see little Brayden ❤️😘#babytime #excited,exciting_2
33,"#Desperate need of support @Goodieof7 """"THERE'S SOMEONE IN WORSE SHAPE"""" 💑 #PleaseHelp ☞ https://t.co/2f5OECzZ2I 🙏 https://t.co/4UjMFonc8Y",sadness_depression
34,RT @ddlovato: You make me GLOOOOOOOWWWWWWWW! #CONFIDENT #DevonneSelfie https://t.co/LdAbm0nsSu https://t.co/2xTDsHaV9S,confidence_impress
35,"Sometimes,you have to get angry to get things done.-Zaky #vsco #vscocam #angry @ Vistana Ktn https://t.co/q1SfvTNOfI",anger_2
36,"Sucks when a Nigga u thought fucked with u, is just another fuck boy 🙄💀 #disappointed",disappoint_2
37,#NatSCA2016 the National Trust has over 8.5 million objects online #impressive,confidence_impress
38,"@bestie_lizzie thank you, although as a result I have had a very lucky Saturday #relaxed",peace_relax
39,SOS my best friend has moved to London and I cannot get a hold of her #depressed,sadness_depression
40,@AsdaServiceTeam we ordered dermot coffee table as it was 52cm high. Turns out it's only 45cm high.#frustrated,disgust_frustration
41,@ddlovato @BBMAs DEMI  @billboard WE WANT DEMI LOVATO PERFOM? #CONFIDENT  PLEASE @IslandRecords @charliewalk @Philymack @HollywoodRecs,confidence_impress
42,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump... https://t.co/Ape0QJuTr4,anger_2
43,RT @BoomMan1976: Trumpies..Trump now says he didn't mean #Anything! He didn't act like himself. NOW he'll be #Presidential. This the guy yo…,anger_2
44,Man...I don't even know what to say right now...😢 #Prince #MusicIcon #Musiclegend #sad… https://t.co/e2eh4Kmod1,sadness_depression
45,RT @NewsBreaksLive: #Angry and frustrated upstate #NewYork swings behind #Trump... https://t.co/Ape0QJuTr4,anger_2
46,RT @Drudge_Report_: #Angry and frustrated upstate #NY swings behind #Trump... https://t.co/ebaV4QtoPb,anger_2
47,#Dinner was #Wonderful as usual last night :) we come here every Saturday lol #Chinese #Fortune #Family #Happy #Love https://t.co/fclP0ZoUeN,joy_2
48,My 2 Babes... They both drive me Crazyyyyy😍😍😍   #beautiful #happy… https://t.co/PqeT2GClKO,joy_2
49,1st world problems are problems too&gt. https://t.co/rgT5TgM9hr #depression #depressed #drugs #evangelion #shinji #sad https://t.co/nSD8YVw696,sadness_depression
50,Truth! #bodyshaming #natural #confidence #naturism #happy #wellbeing #healthy #nudity #lifestyle https://t.co/H1xbOKyivC,joy_2
51,@AmazonHelp  u HaVe more than  3 hour to deliver product on 24th after my call  around 5 PM..#disappointed https://t.co/vJzJ2AZUeL,disappoint_2
52,@Joe_Sugg Joe I thought I was your favourite person?? #disappointed,disappoint_2
53,#TheRoyalVisit to #India n #Bhutan. More bout wat n who the #Dutchess wore. #Sad.,sadness_depression
54,RT @ddlovato: #CONFIDENT is officially out now!!!!!! http://t.co/KwOryUceRi http://t.co/rRmVhVmJrY,confidence_impress
55,I love getting new office supplies! #nerd #officesupplies #stationary #excited,exciting_2
56,#beachbody #Angry gorilla simulator: You need to do to adapt to the environment. The need to tear the city. Mater https://t.co/obSYbE4Ily,anger_2
57,CALM #newyork #centralpark #peaceful #landscape by tedlevy https://t.co/TXZyeufvbI https://t.co/rskgjJyvJH,peace_relax
58,If a #package of ordered #screws makes you #happy 😀😀😀 #Time to put #things at the #walls in the new #passivehouse 🏡 #17 days to go,joy_2
59,It's almost Friday and we're feeling pretty good...... cynthiagroseclose #surfsesh #peaceful… https://t.co/h75SgJIvuR,peace_relax
60,Managed a slow 2.5miles following pulled back muscle. Had just built up to 6miles #Disappointed at losing months of effort @UKRunChat,disappoint_2
61,"Backyard hangs at the country house #earthday #peaceful #serene #sunset @ New Canaan, Connecticut https://t.co/vZXsUaji9G",peace_relax
62,RT @DanKeatings: On my way to Anfield for the #LFCBVB match! #excited #YNWA #LFC,exciting_2
63,RT @devonnebydemi: Almost a year later and she's still cool for the summer! 🙏 #Confident https://t.co/twDYeKDITJ,confidence_impress
64,Watched The Best Man &amp. now The Best Man Holiday. 😭 #sad,sadness_depression
65,"@BurgerKing  Camp Hill Pa, I was served yesterday by the most #energetic  &amp. #happy clerk. #castingcall heres your actor,get her glow on film",joy_2
66,The Queen out riding her fell mare after having just turned 90 #impressed https://t.co/v4Yju5vRgM,confidence_impress
67,"@masonsixtencox well done, as a Geelong supporter I'm extremely impressed with your application and obvious thirst for knowledge #impressed",confidence_impress
68,THE MV IS OUT AT MBC CHANNEL! Search on naver &amp. tweet guys! #쀼 #BbyuYoungLove #쀼어린爱 #어린애 #btob #redvelvet #sungjae #joy #wgm #sungjoy #RV 3,joy_2
69,Get to see our baby again in just over 2 weeks ☺️. #excited,exciting_2
70,"RT @Sur_Mindfulness: When it's my time, I'd like to be reincarnated as a dog. It's a responsibility I'm sure I could step up to! #relaxed h…",peace_relax
71,I took a fat burner yesterday and I haven't lost 30 yet. #whatinthehell #disappointed,disappoint_2
72,Classical for Home Improvement #Music #impressive https://t.co/KKrkv6NGyd,confidence_impress
73,Yesterday #YHM Episode Was Amazing🙆🏼🙆🏼 So May Beautiful Scenes Precap Toh Aur Bhi acha tha😍😍 YHM On Track 😎👍 #EXcited,exciting_2
74,Thanks for the recent follow @ItsHimMichael @aishamusic @PantsDonkey #Grateful to connect :) #Happy Sunday.,joy_2
75,RT @FreeRhona: 💟#peaceful sleeping #twitts  Thank-you for all your kindness 💟 Good night.💟 https://t.co/z1zSA6hbSS,peace_relax
